测试脚本名称,性能检查点, 标准时间,超时标准,超时上限,竞品值,容忍值,业务场景,实测值,结果
3W_批量创建与调整,平面三道尺寸启动,0.0,绝对值,0.1,,0.3,1,0.062,正常
3W_批量创建与调整,平面三道尺寸预览节点,0.0,绝对值,0.1,,0.3,1,0.015,正常
3W_批量创建与调整,平面三道尺寸预览完整,3.5,绝对值,3.8,,,0,2.375,提升
3W_批量创建与调整,平面三道尺寸创建,0.0,绝对值,0.1,,0.3,1,0.047,正常
3W_批量创建与调整,平面三道尺寸完整创建,3.7,绝对值,4.0,,,0,2.5,提升
3W_批量创建与调整,立面标高批量调整节点,0.0,绝对值,0.1,,0.3,1,0.032,正常
3W_批量创建与调整,立面标高批量调整完整,1.0,绝对值,1.1,,,0,0.828,提升
3W_批量创建与调整,立面三道尺寸启动,0.5,绝对值,0.6,,0.3,1,0.437,提升
3W_批量创建与调整,立面三道尺寸预览节点,0.0,绝对值,0.1,,0.3,1,0.046,正常
3W_批量创建与调整,立面三道尺寸预览完整,5.0,绝对值,5.3,,,0,4.016,提升
3W_批量创建与调整,立面三道尺寸创建,0.7,绝对值,1.0,,0.3,1,0.11,提升
3W_批量创建与调整,立面三道尺寸完整创建,6.0,绝对值,7.0,,,0,4.578,提升
3W_批量创建与调整,剖面标高批量调整节点,0.1,绝对值,0.2,,0.3,1,0.094,提升
3W_批量创建与调整,剖面标高批量调整完整,1.9,绝对值,2.0,,,0,1.579,提升
3W_批量创建与调整,剖面三道尺寸启动,0.3,绝对值,0.4,,0.3,1,0.25,提升
3W_批量创建与调整,剖面三道尺寸预览节点,0.0,绝对值,0.1,,0.3,1,0.031,正常
3W_批量创建与调整,剖面三道尺寸预览完整,4.0,绝对值,4.3,,,0,2.906,提升
3W_批量创建与调整,剖面三道尺寸创建,0.1,绝对值,0.2,,0.3,1,0.063,提升
3W_批量创建与调整,剖面三道尺寸完整创建,4.3,绝对值,4.6,,,0,3.25,提升
3W_样式设置,视图对象样式面板显示,0.4,绝对值,0.5,,,0,0.39,提升
3W_样式设置,平面视图对象样式设置,0.3,绝对值,0.4,,,0,0.234,提升
3W_样式设置,平面视图样板引用,1.4,绝对值,1.5,,,0,1.078,提升
3W_样式设置,平面视图样板取消引用,0.2,绝对值,0.3,,,0,0.125,提升
3W_样式设置,立面视图对象样式设置,0.2,绝对值,0.3,,,0,0.156,提升
3W_样式设置,立面视图样板引用,4.0,绝对值,5.0,,,0,4.109,正常
3W_样式设置,剖面视图对象样式设置,0.2,绝对值,0.3,,,0,0.125,提升
3W_样式设置,剖面视图样板引用,1.5,绝对值,1.6,,,0,0.937,提升
3W_样式设置,视图样板下尺寸标注,1.0,绝对值,1.1,,,0,0.625,提升
3W_视口创建与调整,已开剖面视口预览,3.5,绝对值,4.0,,,0,3.157,提升
3W_视口创建与调整,已开剖面视口创建,0.2,绝对值,0.3,,,0,0.203,正常
3W_视口创建与调整,已开平面视口预览,0.3,绝对值,0.4,,,0,0.235,提升
3W_视口创建与调整,已开平面视口创建,0.2,绝对值,0.3,,,0,0.187,提升
3W_视口创建与调整,已开立面视口预览,1.2,绝对值,1.3,,,0,1.156,提升
3W_视口创建与调整,已开立面视口创建,0.2,绝对值,0.3,,,0,0.422,衰退
3W_视口创建与调整,未开立面视口预览,7.0,绝对值,7.5,,,0,2.515,提升
3W_视口创建与调整,未开立面视口创建,0.3,绝对值,0.4,,,0,0.297,提升
3W_视口创建与调整,未开剖面视口预览,4.0,绝对值,4.3,,,0,2.5,提升
3W_视口创建与调整,未开剖面视口创建,0.0,绝对值,0.1,,,0,0.062,正常
3W_视口创建与调整,未开平面视口预览,2.0,绝对值,2.1,,,0,1.015,提升
3W_视口创建与调整,未开平面视口创建,0.2,绝对值,0.3,,,0,0.141,提升
3W_算量一体化,内外墙判断,21.0,绝对值,22.0,,,0,20.64,提升
3W_算量一体化,内外墙过滤显示,0.5,绝对值,0.6,,,0,0.625,衰退
3W_算量一体化,退出内外墙模式,5.2,绝对值,5.5,,,0,5.093,提升
3W_算量一体化,进入内外墙模式,1.2,绝对值,1.5,,,0,1.281,正常
3W_图框,载入点式构件-窗,2.0,绝对值,2.1,,,0,1.234,提升
3W_图框,布置点式构件-窗,0.1,绝对值,0.2,,,0,0.11,正常
3W_图框,载入线式构件-截水沟,1.5,绝对值,1.6,,,0,1.141,提升
3W_图框,布置线式构件预览-截水沟,1.4,绝对值,1.5,,,0,1.0,提升
3W_图框,创建图框,0.1,绝对值,0.2,,,0,0.11,正常
3W_图框,创建表格,0.4,绝对值,0.5,,,0,0.156,提升
3W_图框,图框编辑完成,0.1,绝对值,0.2,,,0,0.093,提升
3W_图框,图框应用,0.1,绝对值,0.2,,,0,0.11,正常
3W_图框,图框复制,0.4,绝对值,0.5,,,0,0.157,提升
3W_协同环境建筑链接结构扣减,参照结构,39.0,相对值,0.05,,,0,382.547,衰退
3W_协同环境建筑链接结构扣减,协同扣减,153.0,相对值,0.05,,60,0,146.859,正常
3W_协同环境建筑链接结构扣减,平面结构截面填充,0.2,绝对值,0.3,,,0,0.172,提升
3W_协同环境建筑专业创建与编辑,打开三维视图,4.0,绝对值,5.0,,,0,2.531,提升
3W_协同环境建筑专业创建与编辑,打开立面视图,7.0,绝对值,8.0,,,0,3.5,提升
3W_协同环境建筑专业创建与编辑,打开平面视图,2.0,绝对值,3.0,,,0,1.532,提升
3W_协同环境建筑专业创建与编辑,墙创建,0.2,绝对值,0.3,,0.5,0,0.156,提升
3W_协同环境建筑专业创建与编辑,墙完整创建,2.5,绝对值,2.6,,,0,2.156,提升
3W_协同环境建筑专业创建与编辑,载入构件,1.1,绝对值,1.2,,0.3,0,0.938,提升
3W_协同环境建筑专业创建与编辑,房间更新,3.4,绝对值,3.5,,,0,2.282,提升
3W_协同环境建筑专业创建与编辑,窗创建,0.0,绝对值,0.1,,0.3,0,0.078,正常
3W_协同环境建筑专业创建与编辑,窗完整创建,1.1,绝对值,1.2,,,0,0.656,提升
3W_协同环境建筑专业创建与编辑,门创建,0.1,绝对值,0.2,,0.3,0,0.125,正常
3W_协同环境建筑专业创建与编辑,门完整创建,2.5,绝对值,2.6,,,0,1.954,提升
3W_协同环境建筑专业创建与编辑,门删除,0.1,绝对值,0.2,,0.3,0,0.109,正常
3W_协同环境建筑专业创建与编辑,门删除undo,0.0,绝对值,0.1,,0.3,0,0.078,正常
3W_协同环境建筑专业创建与编辑,墙删除,0.3,绝对值,0.4,,0.3,0,0.203,提升
3W_协同环境建筑专业创建与编辑,墙删除undo,0.2,绝对值,0.3,,0.3,0,0.11,提升
3W_协同环境建筑专业创建与编辑,进入楼板编辑模式,0.4,绝对值,0.5,,1,0,0.25,提升
3W_协同环境建筑专业创建与编辑,编辑楼板,0.7,绝对值,0.8,,0.5,0,0.563,提升
3W_协同环境建筑专业创建与编辑,房间创建,0.2,绝对值,0.3,,0.3,0,0.094,提升
3W_协同环境建筑专业创建与编辑,房间完整创建,1.0,绝对值,1.1,,,0,0.438,提升
3W_协同环境建筑专业创建与编辑,平面对齐标注选中,0.1,绝对值,0.2,,0.3,0,0.078,提升
3W_协同环境建筑专业创建与编辑,平面对齐标注移动,0.0,绝对值,0.1,,0.3,0,0.031,正常
3W_协同环境建筑专业创建与编辑,平面对齐标注完整移动,0.8,绝对值,0.9,,,0,0.516,提升
3W_协同环境建筑专业创建与编辑,平面对齐标注文字完整移动,1.1,绝对值,1.2,,,0,0.704,提升
3W_协同环境建筑专业创建与编辑,平面门窗三道尺寸创建,0.0,绝对值,0.1,,0.3,0,0.031,正常
3W_协同环境建筑专业创建与编辑,平面门窗三道尺寸完整创建,0.4,绝对值,0.5,,,0,0.344,提升
3W_协同环境建筑专业创建与编辑,立面门窗三道尺寸创建,0.1,绝对值,0.2,,0.3,0,0.078,提升
3W_协同环境建筑专业创建与编辑,立面门窗三道尺寸完整创建,1.7,绝对值,1.8,,,0,1.312,提升
3W_协同环境建筑专业创建与编辑,对齐标注完整编辑,1.9,绝对值,2.0,,,0,1.125,提升
3W_协同环境建筑专业创建与编辑,立面完整捕捉,5.5,绝对值,6.0,,,0,2.656,提升
performance_Q4视口性能优化,拖拽立面图视口夹点,0.2,绝对值,0.3,0.5,,0,0.188,提升
performance_Q4视口性能优化,拖拽立面图视口夹点22,0.2,绝对值,0.3,0.5,,0,0.203,正常
performance_Q4视口性能优化,拖拽平面图视口夹点,0.1,绝对值,0.2,0.5,,0,0.11,正常
performance_Q4视口性能优化,拖拽平面图视口夹点33,0.1,绝对值,0.2,0.5,,0,0.156,正常
3W_协同场景建筑专业创建与编辑_链接结构,打开三维视图,1.9,绝对值,2.0,,,0,1.391,提升
3W_协同场景建筑专业创建与编辑_链接结构,打开南立面视图,3.0,绝对值,3.5,,,0,2.125,提升
3W_协同场景建筑专业创建与编辑_链接结构,高频_打开平面视图,2.5,绝对值,2.8,1.5,3,1,1.797,提升
3W_协同场景建筑专业创建与编辑_链接结构,墙创建,0.0,绝对值,0.1,,,0,0.079,正常
3W_协同场景建筑专业创建与编辑_链接结构,墙删除,0.1,绝对值,0.2,,,0,0.125,正常
3W_协同场景建筑专业创建与编辑_链接结构,墙删除undo,0.1,绝对值,0.2,,,0,0.094,提升
3W_协同场景建筑专业创建与编辑_链接结构,模块_墙删除,0.2,绝对值,0.3,,,0,0.188,提升
3W_协同场景建筑专业创建与编辑_链接结构,创建类似启动,0.2,绝对值,0.3,,,0,0.14,提升
3W_协同场景建筑专业创建与编辑_链接结构,模块_墙创建,0.1,绝对值,0.2,,,0,0.125,正常
3W_协同场景建筑专业创建与编辑_链接结构,本地构件载入,1.2,绝对值,1.5,,,0,0.906,提升
3W_协同场景建筑专业创建与编辑_链接结构,窗创建启动,5.5,绝对值,5.8,,,0,4.125,提升
3W_协同场景建筑专业创建与编辑_链接结构,预设切换窗类型,0.0,绝对值,0.1,,,0,0.031,正常
3W_协同场景建筑专业创建与编辑_链接结构,百叶窗创建,0.2,绝对值,0.3,,,0,0.156,提升
3W_协同场景建筑专业创建与编辑_链接结构,百叶窗删除,0.2,绝对值,0.3,,,0,0.14,提升
3W_协同场景建筑专业创建与编辑_链接结构,百叶窗删除undo,0.1,绝对值,0.2,,,0,0.11,正常
3W_协同场景建筑专业创建与编辑_链接结构,普通窗创建,0.1,绝对值,0.2,,,0,0.094,提升
3W_协同场景建筑专业创建与编辑_链接结构,普通窗删除,0.1,绝对值,0.2,,,0,0.125,正常
3W_协同场景建筑专业创建与编辑_链接结构,普通窗删除undo,0.1,绝对值,0.2,,,0,0.094,提升
3W_协同场景建筑专业创建与编辑_链接结构,高频_批量更新房间,2.6,绝对值,2.7,,3,1,2.375,提升
3W_协同场景建筑专业创建与编辑_链接结构,创建房间命令启动,0.7,绝对值,0.8,,,0,0.484,提升
3W_协同场景建筑专业创建与编辑_链接结构,创建房间,0.2,绝对值,0.3,,,0,0.094,提升
3W_协同场景建筑专业创建与编辑_链接结构,门创建,0.1,绝对值,0.2,,,0,0.125,正常
3W_协同场景建筑专业创建与编辑_链接结构,门删除,0.1,绝对值,0.2,,,0,0.094,提升
3W_协同场景建筑专业创建与编辑_链接结构,门删除undo,0.1,绝对值,0.2,,,0,0.109,正常
3W_协同场景建筑专业创建与编辑_链接结构,楼板编辑模式,0.3,绝对值,0.4,,,0,0.219,提升
3W_协同场景建筑专业创建与编辑_链接结构,编辑楼板,0.7,绝对值,1.0,,,0,0.516,提升
3W_协同场景建筑专业创建与编辑_链接结构,标准层创建,8.0,绝对值,9.0,,,0,8.188,正常
3W_协同场景建筑专业创建与编辑_链接结构,切换立面视图_增量,2.7,绝对值,3.0,,,0,1.875,提升
3W_协同场景建筑专业创建与编辑_链接结构,切换三维视图_增量,6.0,绝对值,6.3,,,0,4.406,提升
3W_协同场景建筑专业创建与编辑_链接结构,关闭三维视图,1.0,绝对值,1.1,,,0,0.656,提升
3W_协同场景建筑专业创建与编辑_链接结构,打开北立面视图_全量,5.0,绝对值,5.5,2,5,0,3.828,提升
3W_协同场景建筑专业创建与编辑_链接结构,打开南立面视图_全量,5.5,绝对值,6.0,,,0,4.047,提升
3W_协同场景建筑专业创建与编辑_链接结构,打开三维视图_全量,3.5,绝对值,4.0,4,8,0,3.218,提升
3W_协同场景建筑专业创建与编辑_链接结构,打开剖面视图_全量,3.5,绝对值,4.0,1.5,3,0,3.0,提升
3W_协同场景建筑专业创建与编辑_链接结构,标准层_墙创建,0.3,绝对值,0.6,,,0,0.297,提升
3W_协同场景建筑专业创建与编辑_链接结构,标准层_墙删除,0.3,绝对值,0.4,,,0,0.297,提升
3W_协同场景建筑专业创建与编辑_链接结构,标准层_墙删除undo,0.2,绝对值,0.3,,,0,0.172,提升
3W_协同场景建筑专业创建与编辑_链接结构,标准层_窗创建,0.3,绝对值,0.4,,,0,0.297,提升
3W_协同场景建筑专业创建与编辑_链接结构,标准层_窗删除,0.3,绝对值,0.4,,,0,0.25,提升
3W_协同场景建筑专业创建与编辑_链接结构,标准层_模块编辑模式,0.2,绝对值,0.3,,,0,0.219,正常
3W_协同场景建筑专业创建与编辑_链接结构,标准层_门翻转,0.2,绝对值,0.3,,,0,0.156,提升
3W_协同场景建筑专业创建与编辑_链接结构,标准层_门墙移动,0.2,绝对值,0.3,,,0,0.14,提升
3W_协同场景建筑专业创建与编辑_链接结构,标准层_楼板编辑,0.2,绝对值,0.3,,,0,0.172,提升
3W_协同场景建筑专业创建与编辑_链接结构,标准层_模块同步,3.7,绝对值,3.8,,,0,2.203,提升
3W_协同场景建筑专业创建与编辑_链接结构,高频_平面对齐标注选中,0.1,绝对值,0.2,0.2,0.3,1,0.094,提升
3W_协同场景建筑专业创建与编辑_链接结构,高频_平面对齐标注移动,0.0,绝对值,0.1,0.2,0.3,1,0.031,正常
3W_协同环境_建筑专业,高频_3W_墙夹点编辑,0.2,绝对值,0.3,0.3,0.3,1,0.047,提升
3W_协同环境_建筑专业,3W_复制视图,1.0,绝对值,1.3,3,3,1,0.563,提升
3W_协同环境_建筑专业,3W_参照结构,19.0,绝对值,20.0,20,20,1,22.281,衰退
3W_协同环境_建筑设计单元,门移动_无映射,0.1,绝对值,0.2,,,0,0.11,正常
3W_协同环境_建筑设计单元,窗移动_无映射,0.2,绝对值,0.3,,,0,0.125,提升
3W_协同环境_建筑设计单元,墙连接移动_无映射,0.3,绝对值,0.4,,,0,0.203,提升
3W_协同环境_建筑设计单元,墙修角_标准层,0.7,绝对值,0.8,,,0,0.265,提升
3W_协同环境_建筑设计单元,楼板轮廓线删除undo_无映射层,0.1,绝对值,0.2,,,0,0.157,正常
3W_协同环境_建筑设计单元,房间创建_标准层,0.1,绝对值,0.2,,,0,0.062,提升
3W_协同环境_建筑设计单元,墙连接移动_标准层,0.4,绝对值,0.5,,,0,0.297,提升
3W_协同环境_建筑设计单元,门移动_标准层,0.2,绝对值,0.3,,,0,0.172,提升
3W_协同环境_建筑设计单元,窗移动_标准层,0.2,绝对值,0.3,,,0,0.187,提升
3W_协同环境_建筑设计单元,模块修改同步_无映射层,7.2,绝对值,7.3,,,0,4.203,提升
3W_协同环境_建筑单专业,高频_墙创建_无映射,0.0,绝对值,0.1,0.3,0.3,1,0.062,正常
3W_协同环境_建筑单专业,高频_墙修角_无映射,0.1,绝对值,0.2,,0.3,1,0.11,正常
3W_协同环境_建筑单专业,高频_房间创建_无映射,0.0,绝对值,0.1,0.3,0.3,1,0.047,正常
3W_协同环境_建筑单专业,高频_房间更新_无映射,2.0,绝对值,2.1,,3,1,1.954,提升
3W_协同环境_建筑单专业,高频_门创建_无映射,0.1,绝对值,0.2,0.2,0.3,1,0.141,正常
3W_协同环境_建筑单专业,单个门类型切换_无映射层,0.5,绝对值,0.6,,,0,0.453,提升
3W_协同环境_建筑单专业,门删除_无映射层,0.0,绝对值,0.1,,,0,0.093,正常
3W_协同环境_建筑单专业,门删除undo_无映射层,0.1,绝对值,0.2,,,0,0.109,正常
3W_协同环境_建筑单专业,创建百叶窗_无映射层,0.2,绝对值,0.3,,,0,0.156,提升
3W_协同环境_建筑单专业,高频_户型模块封装_无映射,1.6,绝对值,1.7,,2,1,1.031,提升
3W_协同环境_建筑单专业,高频_户型模块实例创建_无映射,3.5,绝对值,3.6,,4,1,2.547,提升
3W_协同环境_建筑单专业,高频_单个户型模块复制_无映射,1.3,绝对值,1.4,,4,1,0.766,提升
3W_协同环境_建筑单专业,高频_墙创建_标准层,0.3,绝对值,0.4,0.3,0.5,1,0.266,提升
3W_协同环境_建筑单专业,高频_墙删除_标准层,0.3,绝对值,0.4,0.2,0.5,1,0.329,正常
3W_协同环境_建筑单专业,高频_墙删除undo_标准层,0.3,绝对值,0.4,0.2,1,1,0.218,提升
3W_协同环境_建筑单专业,高频_门删除_标准层,0.3,绝对值,0.4,0.2,0.5,1,0.219,提升
3W_协同环境_建筑单专业,高频_门删除undo_标准层,0.2,绝对值,0.3,0.2,1,1,0.188,提升
3W_协同环境_建筑单专业,高频_完成模块编辑,3.2,绝对值,3.3,9.8,8,1,1.844,提升
3W_协同环境_建筑单专业,高频_创建单个保温层,0.1,绝对值,0.2,,0.3,1,0.141,正常
3W_协同环境_建筑单专业,高频_切换视图,0.2,绝对值,0.3,0.5,0.5,1,0.157,提升
3W_协同环境_建筑单专业,高频_视图缩放,0.0,绝对值,0.1,1.8,0.3,1,0.0,正常
3W_协同环境_建筑单专业,高频_平面对齐标注移动,0.0,绝对值,0.1,0.2,0.3,1,0.062,正常
3W_协同环境_建筑单专业,高频_平面对齐标注创建,0.0,绝对值,0.1,0.2,0.3,1,0.063,正常
3W_协同环境_建筑单专业,高频_平面门窗三道尺寸创建,0.0,绝对值,0.1,,0.3,1,0.063,正常
3W_协同环境_建筑单专业,高频_立面对齐标注创建,0.0,绝对值,0.1,0.2,0.3,1,0.078,正常
3W_协同环境_建筑单专业,高频_剖面对齐标注创建,0.0,绝对值,0.1,0.2,0.3,1,0.078,正常
3W_协同环境_建筑单专业,高频_剖面门窗三道尺寸创建,0.1,绝对值,0.2,,0.3,1,0.109,正常
3W_协同环境_建筑单专业,户型模块未修改同步_无映射,0.3,绝对值,0.4,,,0,0.219,提升
3W_协同环境_建筑单专业,户型模块未修改同步_标准层,0.3,绝对值,0.4,,,0,0.297,提升
3W_协同环境_建筑单专业,户型模块封装_标准层,3.0,绝对值,3.3,,,0,1.937,提升
3W_协同环境_建筑单专业,户型模块实例创建_标准层,6.5,绝对值,6.8,,,0,4.297,提升
3W_协同环境_建筑单专业,单个户型模块复制_标准层,3.5,绝对值,3.8,,,0,1.828,提升
3W_协同环境_带映射层建筑设计单元,板洞创建,0.3,绝对值,0.4,,,0,0.297,提升
3W_协同环境_带映射层建筑设计单元,竖井创建,0.2,绝对值,0.3,,,0,0.187,提升
3W_协同环境_带映射层建筑设计单元,楼板创建,0.3,绝对值,0.4,,,0,0.297,提升
3W_协同环境_带映射层建筑设计单元,双跑楼梯移动,0.5,绝对值,0.6,,,0,0.438,提升
3W_协同环境_带映射层建筑设计单元,剪刀楼梯移动,0.7,绝对值,0.8,,,0,0.688,提升
3W_协同环境_带映射层建筑设计单元,图纸明细表创建,0.0,绝对值,0.1,,,0,0.0,正常
3W_协同环境_带映射层建筑设计单元,剖面标高批量调整完整,0.1,绝对值,0.2,,,0,0.125,正常
3W_协同环境_带映射层建筑设计单元,内外墙判断,11.0,绝对值,12.0,,,0,4.937,提升
3W_协同环境_带映射层建筑设计单元,退出内外墙模式,4.5,绝对值,5.0,,,0,3.719,提升
3W_协同环境_带映射层建筑设计单元,首层楼板分割,0.5,绝对值,0.6,,,0,0.406,提升
3W_协同环境_带映射层建筑设计单元,标准层楼板分割,1.0,绝对值,1.1,,,0,0.907,提升
3W_协同环境_带映射层建筑设计单元,户型模块十个构件修改同步,8.5,绝对值,8.8,,,0,4.688,提升
3W_协同环境_连接线消隐,连接线消隐,23.5,绝对值,24.0,,,0,28.39,衰退
3W_协同环境_连接线消隐简化版,小场景连接线消隐,4.5,绝对值,5.0,,,0,4.735,正常
3W_协同环境_连接线消隐简化版,开关视图对象样式,0.7,绝对值,0.8,,,0,0.594,提升
3W_协同环境_连接线消隐简化版,导出GFC3.2,0.5,绝对值,0.6,,,0,0.391,提升
3W_DWG地库图纸导入操作,导入地库图纸,3.7,绝对值,3.8,,,0,2.766,提升
3W_DWG地库图纸导入操作,地库图纸移动,1.4,绝对值,1.5,,,0,0.344,提升
3W_DWG地库图纸导入操作,打开带地库图纸视图,0.9,绝对值,1.0,,,0,0.75,提升
3W_DWG地库图纸导入操作,地库图纸删除,0.7,绝对值,0.8,,,0,0.281,提升
3W_DWG地库图纸导入操作,CAD图纸背景切换为前景,1.5,绝对值,1.6,,,0,0.453,提升
3W_DWG地库图纸导入操作,CAD图纸视图下界面风格切换,1.5,绝对值,1.6,,,0,1.625,衰退
3W_协同场景建筑重新链接_链接结构,打开协同文件,52.0,相对值,0.05,,,0,47.36,提升
3W_协同场景建筑重新链接_链接结构,打开北立面视图,5.2,绝对值,5.3,2,5,1,3.282,提升
3W_协同场景建筑重新链接_链接结构,高频_打开南立面视图_全量,3.0,绝对值,3.3,2,5,1,2.0,提升
3W_协同场景建筑重新链接_链接结构,高频_打开三维视图_全量,3.0,绝对值,3.3,4,8,1,2.547,提升
3W_协同场景建筑重新链接_链接结构,全量打开2-2剖面视图,2.0,绝对值,2.3,,,0,2.219,正常
3W_协同场景建筑重新链接_链接结构,高频_打开剖面视图_全量,3.0,绝对值,3.3,1.5,3,1,2.203,提升
3W_协同场景建筑重新链接_链接结构,3W_导出2F平面图,4.0,绝对值,4.5,,8,1,3.219,提升
3W_协同场景建筑重新链接_链接结构,3W_导出南立面视图,30.0,绝对值,32.0,,120,1,27.062,提升
3W_协同场景建筑重新链接_链接结构,3W_导出2-2剖面视图,4.0,绝对值,4.6,,9,1,3.015,提升
3W_协同场景建筑重新链接_链接结构,3W_平立剖批量导出,40.0,绝对值,42.0,,70,1,36.687,提升
3W_协同场景建筑重新链接_链接结构,批量更新房间,3.7,绝对值,4.0,,,0,2.75,提升
3W_协同环境_建筑参照多专业,高频_打开工作单元,230.0,相对值,0.05,60,90,1,260.265,衰退
3W_协同环境_建筑参照多专业,高频_首次打开2F平面视图,3.0,绝对值,3.3,5,6,1,2.547,提升
3W_协同环境_建筑参照多专业,高频_参照结构更新,30.0,相对值,0.2,20,20,1,28.844,正常
3W_协同环境_建筑参照多专业,高频_关闭工作单元,2.2,绝对值,2.3,6,6,1,1.672,提升
墙构件首次创建,墙构件首次创建,1.4,绝对值,1.5,,2,0,1.187,提升
智能识别弧形墙性能,内外墙识别,44.0,相对值,0.1,,,0,0.0,提升
3W_批量导出DWG,批量导出DWG,120.0,相对值,0.05,67,,0,109.0,提升
6W_建筑构件编辑_建筑单专业,高频_柱创建,0.1,绝对值,0.2,0.3,0.3,1,0.11,正常
6W_建筑构件编辑_建筑单专业,高频_墙创建,0.1,绝对值,0.2,0.3,0.3,1,0.11,正常
6W_建筑构件编辑_建筑单专业,高频_墙夹点编辑,0.2,绝对值,0.3,0.3,0.3,1,0.156,提升
6W_建筑构件编辑_建筑单专业,高频_墙删除,0.1,绝对值,0.2,0.3,0.3,1,0.125,正常
6W_建筑构件编辑_建筑单专业,高频_墙删除undo,0.1,绝对值,0.2,0.3,0.3,1,0.109,正常
6W_建筑构件编辑_建筑单专业,高频_房间布置,0.1,绝对值,0.2,0.3,0.1,1,0.062,提升
6W_建筑构件编辑_建筑单专业,高频_房间删除,0.1,绝对值,0.2,0.3,0.2,1,0.094,提升
6W_建筑构件编辑_建筑单专业,高频_布置车位,0.0,绝对值,0.1,0.3,0.2,1,0.031,正常
6W_建筑构件编辑_建筑单专业,高频_门创建,0.0,绝对值,0.1,0.3,0.2,1,0.047,正常
6W_建筑构件编辑_建筑单专业,高频_门类型切换,0.0,绝对值,0.1,0.3,0.1,1,0.016,正常
6W_建筑构件编辑_建筑单专业,高频_门删除,0.1,绝对值,0.2,0.3,0.2,1,0.093,提升
6W_建筑构件编辑_建筑单专业,高频_窗创建,0.0,绝对值,0.1,0.3,0.2,1,0.047,正常
6W_建筑构件编辑_建筑单专业,高频_窗类型切换,0.0,绝对值,0.1,0.3,0.2,1,0.016,正常
6W_建筑构件编辑_建筑单专业,高频_窗删除,0.0,绝对值,0.1,0.3,0.1,1,0.062,正常
6W_建筑构件编辑_建筑单专业,高频_楼板进入编辑模式,0.4,绝对值,0.5,1,1,1,0.25,提升
6W_建筑构件编辑_建筑单专业,高频_楼板退出编辑模式,1.0,绝对值,1.1,1,1,1,0.813,提升
6W_建筑构件注释表达_建筑单专业,高频_对齐标注创建,0.0,绝对值,0.1,0.3,0.1,1,0.047,正常
6W_建筑构件注释表达_建筑单专业,高频_标高标注创建,0.1,绝对值,0.2,0.3,0.2,1,0.062,提升
6W_建筑构件注释表达_建筑单专业,高频_二维线创建,0.1,绝对值,0.2,0.3,0.2,1,0.125,正常
6W_建筑构件注释表达_建筑单专业,高频_文字创建,0.0,绝对值,0.1,0.3,0.3,1,0.047,正常
6W_建筑构件注释表达_建筑单专业,高频_门窗编号,0.0,绝对值,0.1,—,0.1,1,0.015,正常
6W_建筑构件注释表达_建筑单专业,高频_创建填充,0.0,绝对值,0.1,0.3,0.1,1,0.031,正常
6W_协同环境通用编辑_链接结构,高频_首次打开B1平面视图,4.0,绝对值,4.1,1.8,5,1,2.922,提升
6W_协同环境通用编辑_链接结构,高频_首次打开南立面视图,5.5,绝对值,5.6,4,4,1,3.422,提升
6W_协同环境通用编辑_链接结构,高频_首次打开1-1剖面视图,1.0,绝对值,1.1,3.1,3.1,1,0.734,提升
6W_协同环境通用编辑_链接结构,高频_首次打开三维视图,1.0,绝对值,1.1,5.5,5.5,1,0.672,提升
6W_协同环境通用编辑_链接结构,高频_视图缩放,0.5,绝对值,0.6,0.3,0.2,1,0.453,提升
6W_协同环境通用编辑_全专业,高频_有缓存打开工作单元,30.0,相对值,0.1,22,180,1,30.906,正常
6W_协同环境通用编辑_全专业,创建防火分区视图,8.5,绝对值,9.0,15,10,1,6.078,提升
6W_协同环境通用编辑_全专业,高频_首次打开防火分区视图,3.7,绝对值,4.0,2.2,2.2,1,2.687,提升
6W_协同环境通用编辑_全专业,高频_放置防火分区,0.0,绝对值,0.1,—,0.3,1,0.016,正常
6W_协同环境通用编辑_全专业,高频_防火分区视图疏散路线创建,0.1,绝对值,0.2,0.3,0.3,1,0.047,提升
6W_协同环境通用编辑_全专业,高频_全专业视图缩放,0.0,绝对值,0.1,0.3,0.1,1,0.031,正常
6W_协同环境通用编辑_全专业,高频_首次打开三维视图,3.0,绝对值,3.1,2.8,9,1,2.015,提升
6W_协同环境通用编辑_全专业,高频_结构参照更新,30.0,相对值,0.05,—,10,1,28.281,提升
6W_协同环境通用编辑_全专业,电气参照更新,21.0,相对值,0.1,—,10,1,24.125,衰退
6W_协同环境通用编辑_全专业,暖通参照更新,8.0,相对值,0.1,—,10,1,8.0,正常
6W_协同环境通用编辑_全专业,喷淋参照更新,15.0,相对值,0.1,—,10,1,17.672,衰退
6W_协同环境通用编辑_全专业,高频_关闭工作单元,2.7,绝对值,3.0,2,2,1,2.141,提升
6W_DWG地库图纸编辑_建筑单专业,导入地库图纸,5.7,绝对值,6.0,7,7,1,3.219,提升
6W_DWG地库图纸编辑_建筑单专业,移动地库图纸,0.2,绝对值,0.5,0.5,0.5,1,0.188,提升
6W_DWG地库图纸编辑_建筑单专业,隐藏地库图纸,0.2,绝对值,0.5,0.3,0.3,1,0.203,正常
6W_DWG地库图纸编辑_建筑单专业,显示地库图纸,1.5,绝对值,1.8,2,2,1,0.984,提升
6W_DWG地库图纸编辑_建筑单专业,关闭带地库图纸平面视图,0.2,绝对值,0.5,0.3,0.3,1,0.203,正常
